End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003593
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003598
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003632
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003643
End: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.003654
End: N=5, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.003672
Start: N=4, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.003690
Start: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.003709
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003728
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003742
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003766
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003790
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003801
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003813
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003828
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003838
End: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.003843
Start: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.003873
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003883
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003921
End: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.003942
End: N=4, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.003954
End: N=6, Current_CPU=0, Previous_CPU=0000, Pre_N=7, Cur_Time=0.003961
End: N=7, Current_CPU=0, Previous_CPU=000, Pre_N=9, Cur_Time=0.004021
End: N=9, Current_CPU=0, Previous_CPU=00, Pre_N=10, Cur_Time=0.004037
End: N=10, Current_CPU=0, Previous_CPU=0, Pre_N=-1, Cur_Time=0.004054
