Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003656
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003661
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003751
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003755
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.003759
Start: N=3, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.003766
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.003773
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.003777
Start: N=2, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.003781
Start: N=0, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.003789
End: N=0, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.003792
Start: N=1, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.003797
End: N=1, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.003801
End: N=2, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.003806
End: N=3, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.003814
End: N=4, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.003821
End: N=5, Current_CPU=1, Previous_CPU=00111, Pre_N=6, Cur_Time=0.003907
End: N=6, Current_CPU=1, Previous_CPU=0011, Pre_N=8, Cur_Time=0.003922
Start: N=7, Current_CPU=1, Previous_CPU=0011, Pre_N=8, Cur_Time=0.003938
Start: N=5, Current_CPU=1, Previous_CPU=00111, Pre_N=7, Cur_Time=0.003948
Start: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.003955
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003962
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003966
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003997
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004007
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004012
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004016
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004033
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.004038
End: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.004046
Start: N=4, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.004052
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.004059
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004066
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004071
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004075
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004078
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.004084
Start: N=3, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.004095
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.004102
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.004106
Start: N=2, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.004110
Start: N=0, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.004117
End: N=0, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.004120
Start: N=1, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.004124
End: N=1, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.004128
End: N=2, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.004133
End: N=3, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.004140
End: N=4, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.004146
End: N=5, Current_CPU=1, Previous_CPU=00111, Pre_N=7, Cur_Time=0.004305
Start: N=6, Current_CPU=1, Previous_CPU=00111, Pre_N=7, Cur_Time=0.004320
Start: N=4, Current_CPU=1, Previous_CPU=001111, Pre_N=6, Cur_Time=0.004327
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.004334
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004340
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004368
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.004376
