Start: N=0, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.003035
End: N=0, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.003044
End: N=2, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.003052
End: N=4, Current_CPU=1, Previous_CPU=10111, Pre_N=6, Cur_Time=0.003066
End: N=6, Current_CPU=1, Previous_CPU=1011, Pre_N=7, Cur_Time=0.003080
Start: N=5, Current_CPU=1, Previous_CPU=1011, Pre_N=7, Cur_Time=0.003094
Start: N=4, Current_CPU=1, Previous_CPU=10111, Pre_N=5, Cur_Time=0.003111
Start: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.003127
Start: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.003143
Start: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.003159
End: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.003171
Start: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.003181
End: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.003189
End: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.003198
Start: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.003212
End: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.003220
End: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.003229
Start: N=2, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.003242
Start: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.003258
End: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.003266
Start: N=0, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.003275
End: N=0, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.003283
End: N=2, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.003292
End: N=4, Current_CPU=1, Previous_CPU=10111, Pre_N=5, Cur_Time=0.003306
Start: N=3, Current_CPU=1, Previous_CPU=10111, Pre_N=5, Cur_Time=0.003320
Start: N=2, Current_CPU=1, Previous_CPU=101111, Pre_N=3, Cur_Time=0.003336
Start: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.003352
End: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.003361
Start: N=0, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.003370
End: N=0, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.003378
End: N=2, Current_CPU=1, Previous_CPU=101111, Pre_N=3, Cur_Time=0.003386
Start: N=1, Current_CPU=1, Previous_CPU=101111, Pre_N=3, Cur_Time=0.003401
End: N=1, Current_CPU=1, Previous_CPU=101111, Pre_N=3, Cur_Time=0.003409
End: N=3, Current_CPU=1, Previous_CPU=10111, Pre_N=5, Cur_Time=0.003418
End: N=5, Current_CPU=1, Previous_CPU=1011, Pre_N=7, Cur_Time=0.003432
End: N=7, Current_CPU=1, Previous_CPU=101, Pre_N=9, Cur_Time=0.003446
End: N=9, Current_CPU=1, Previous_CPU=10, Pre_N=10, Cur_Time=0.003460
Start: N=8, Current_CPU=1, Previous_CPU=10, Pre_N=10, Cur_Time=0.003475
Start: N=7, Current_CPU=1, Previous_CPU=101, Pre_N=8, Cur_Time=0.003500
Start: N=6, Current_CPU=1, Previous_CPU=1011, Pre_N=7, Cur_Time=0.003518
Start: N=5, Current_CPU=1, Previous_CPU=10111, Pre_N=6, Cur_Time=0.003534
Start: N=4, Current_CPU=1, Previous_CPU=101111, Pre_N=5, Cur_Time=0.003549
Start: N=3, Current_CPU=1, Previous_CPU=1011111, Pre_N=4, Cur_Time=0.003566
Start: N=2, Current_CPU=1, Previous_CPU=10111111, Pre_N=3, Cur_Time=0.003581
Start: N=1, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.003597
End: N=1, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.003606
Start: N=0, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.003614
End: N=0, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.003623
End: N=2, Current_CPU=1, Previous_CPU=10111111, Pre_N=3, Cur_Time=0.003632
Start: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=3, Cur_Time=0.003645
End: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=3, Cur_Time=0.003654
End: N=3, Current_CPU=1, Previous_CPU=1011111, Pre_N=4, Cur_Time=0.003662
Start: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=4, Cur_Time=0.003676
Start: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.003691
End: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.003700
Start: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.003708
End: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.003716
End: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=4, Cur_Time=0.003725
End: N=4, Current_CPU=1, Previous_CPU=101111, Pre_N=5, Cur_Time=0.003739
Start: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=5, Cur_Time=0.003753
Start: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.003769
Start: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.003785
End: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.003793
Start: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.003802
End: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.003810
End: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.003818
Start: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.003832
End: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.003840
End: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=5, Cur_Time=0.003849
End: N=5, Current_CPU=1, Previous_CPU=10111, Pre_N=6, Cur_Time=0.003863
Start: N=4, Current_CPU=1, Previous_CPU=10111, Pre_N=6, Cur_Time=0.003879
Start: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.003894
Start: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.003910
Start: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.003926
End: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.003935
Start: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.003944
End: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.003952
End: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.003961
Start: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.004000
End: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.004008
End: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.004043
Start: N=2, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.004057
Start: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.004071
End: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.004079
Start: N=0, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.004086
End: N=0, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.004094
End: N=2, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.004102
End: N=4, Current_CPU=1, Previous_CPU=10111, Pre_N=6, Cur_Time=0.004115
End: N=6, Current_CPU=1, Previous_CPU=1011, Pre_N=7, Cur_Time=0.004128
Start: N=5, Current_CPU=1, Previous_CPU=1011, Pre_N=7, Cur_Time=0.004140
Start: N=4, Current_CPU=1, Previous_CPU=10111, Pre_N=5, Cur_Time=0.004154
Start: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.004168
Start: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.004189
Start: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.004205
End: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.004214
Start: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.004221
End: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.004230
End: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.004238
Start: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.004251
End: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.004259
End: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.004267
Start: N=2, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.004279
Start: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.004293
End: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.004301
Start: N=0, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.004308
End: N=0, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.004316
End: N=2, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.004324
End: N=4, Current_CPU=1, Previous_CPU=10111, Pre_N=5, Cur_Time=0.004336
Start: N=3, Current_CPU=1, Previous_CPU=10111, Pre_N=5, Cur_Time=0.004350
Start: N=2, Current_CPU=1, Previous_CPU=101111, Pre_N=3, Cur_Time=0.004364
Start: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.004379
End: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.004387
Start: N=0, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.004395
End: N=0, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.004403
End: N=2, Current_CPU=1, Previous_CPU=101111, Pre_N=3, Cur_Time=0.004411
