End: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.002159
Start: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.002174
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.002189
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.002199
Start: N=0, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.002207
End: N=0, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.002216
End: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.002225
End: N=4, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.002239
End: N=6, Current_CPU=0, Previous_CPU=0000, Pre_N=8, Cur_Time=0.002254
End: N=8, Current_CPU=0, Previous_CPU=000, Pre_N=9, Cur_Time=0.002267
Start: N=7, Current_CPU=0, Previous_CPU=000, Pre_N=9, Cur_Time=0.002282
Start: N=6, Current_CPU=0, Previous_CPU=0000, Pre_N=7, Cur_Time=0.002298
Start: N=5, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.002340
Start: N=4, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.002355
Start: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.002397
Start: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.002411
Start: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.002426
End: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.002433
Start: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.002441
End: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.002449
End: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.002457
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.002472
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.002479
End: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.002488
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.002526
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002541
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002549
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002558
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002566
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.002574
End: N=4, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.002589
Start: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.002603
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002618
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002633
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002641
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002649
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.002657
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002665
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002687
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.002696
End: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.002704
