Start: N=4, Current_CPU=1, Previous_CPU=00011, Pre_N=5, Cur_Time=0.002996
Start: N=3, Current_CPU=1, Previous_CPU=000111, Pre_N=4, Cur_Time=0.003003
Start: N=2, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.003010
Start: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.003046
End: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.003055
Start: N=0, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.003063
End: N=0, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.003069
End: N=2, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.003074
Start: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.003081
End: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.003085
End: N=3, Current_CPU=1, Previous_CPU=000111, Pre_N=4, Cur_Time=0.003090
Start: N=2, Current_CPU=1, Previous_CPU=000111, Pre_N=4, Cur_Time=0.003097
Start: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.003104
End: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.003107
Start: N=0, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.003112
End: N=0, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.003115
End: N=2, Current_CPU=1, Previous_CPU=000111, Pre_N=4, Cur_Time=0.003120
End: N=4, Current_CPU=1, Previous_CPU=00011, Pre_N=5, Cur_Time=0.003127
Start: N=3, Current_CPU=1, Previous_CPU=00011, Pre_N=5, Cur_Time=0.003134
Start: N=2, Current_CPU=1, Previous_CPU=000111, Pre_N=3, Cur_Time=0.003142
Start: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.003149
End: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.003153
Start: N=0, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.003158
End: N=0, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.003161
End: N=2, Current_CPU=1, Previous_CPU=000111, Pre_N=3, Cur_Time=0.003166
Start: N=1, Current_CPU=1, Previous_CPU=000111, Pre_N=3, Cur_Time=0.003173
End: N=1, Current_CPU=1, Previous_CPU=000111, Pre_N=3, Cur_Time=0.003177
End: N=3, Current_CPU=1, Previous_CPU=00011, Pre_N=5, Cur_Time=0.003182
End: N=5, Current_CPU=1, Previous_CPU=0001, Pre_N=7, Cur_Time=0.003189
End: N=7, Current_CPU=1, Previous_CPU=000, Pre_N=9, Cur_Time=0.003197
Start: N=8, Current_CPU=1, Previous_CPU=00, Pre_N=10, Cur_Time=0.003358
Start: N=7, Current_CPU=1, Previous_CPU=001, Pre_N=8, Cur_Time=0.003367
Start: N=6, Current_CPU=1, Previous_CPU=0011, Pre_N=7, Cur_Time=0.003375
Start: N=5, Current_CPU=1, Previous_CPU=00111, Pre_N=6, Cur_Time=0.003383
Start: N=4, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.003418
Start: N=3, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.003432
Start: N=2, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.003446
Start: N=1, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.003460
End: N=1, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.003469
Start: N=0, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.003477
End: N=0, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.003482
End: N=2, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.003487
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.003494
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.003498
End: N=3, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.003503
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.003510
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003517
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003522
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003526
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003530
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.003539
End: N=4, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.003547
Start: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.003630
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003637
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003644
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003648
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003652
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003656
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003661
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003669
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003672
End: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.003677
End: N=5, Current_CPU=1, Previous_CPU=00111, Pre_N=6, Cur_Time=0.003684
Start: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=6, Cur_Time=0.003691
Start: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.003698
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003705
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003712
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003802
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003811
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003816
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003820
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003827
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003831
End: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.003836
Start: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.003843
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.003850
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.003854
Start: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.003858
End: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.003862
End: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.003866
End: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=6, Cur_Time=0.003874
